,Country,Population,Motor_vehicles_per_1k,Manufacturing_value_normalized,Total_Motor_vehicles
186,Turkey,83429615.0,251.0,0.036704015989007556,20940833.365000002
187,Turkmenistan,5942089.0,107.0,0.00034948173130972454,635803.523
190,Uganda,44269594.0,12.0,0.000567113859221785,531235.128
191,Ukraine,1.0,219.0,0.003764456935856598,0.219
192,United Arab Emirates,9770529.0,234.0,0.009225584910374117,2286303.786
193,United Kingdom,67530172.0,471.0,0.06308887639747673,31806711.012000002
194,Uruguay,3461734.0,280.0,0.0017348660296046467,969285.52
195,Uzbekistan,32981716.0,37.0,0.0020612928611579537,1220323.492
196,Venezuela,28515829.0,145.0,0.01454923739928799,4134795.205
197,Vietnam,96462106.0,23.0,0.009799675223283991,2218628.438
198,Yemen,29161922.0,37.0,0.0009242181000562113,1078991.114
199,Zambia,17861030.0,23.0,0.0005659803884829179,410803.69
200,Zimbabwe,14645468.0,60.0,0.0006338357379301729,878728.0800000001
